,host_response_time,host_response_rate,host_is_superhost,host_verification_level,neighbourhood_cleansed,host_identity_verified,is_location_exact,instant_bookable,property_type,room_type,bed_type,Wifi,Heating,Essentials,Smoke detector,Kitchen,Carbon monoxide detector,Hangers,Air conditioning,Shampoo,Hair dryer,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,cancellation_policy,reviews_per_month
0,2.0,100.0,1,3.0,East Boston,0,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,125.0,0.0,75.0,0.0,14.0,99.0,10.0,10.0,10.0,10.0,super_strict_30,0.32
1,1.0,100.0,1,4.0,Roxbury,1,1,1,Guest suite,Entire home/apt,Real Bed,True,True,True,True,False,True,True,True,True,True,145.0,0.0,40.0,0.0,80.0,95.0,10.0,10.0,10.0,9.0,strict_14_with_grace_period,0.66
2,1.0,100.0,1,4.0,Roxbury,1,1,1,Condominium,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,169.0,0.0,70.0,8.0,85.0,97.0,10.0,10.0,10.0,9.0,strict_14_with_grace_period,0.73
4,3.0,93.0,0,8.0,Downtown,0,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,False,True,True,False,True,99.0,1000.0,250.0,0.0,22.0,92.0,9.0,10.0,10.0,10.0,strict_14_with_grace_period,0.4
5,3.0,93.0,0,8.0,Downtown,0,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,False,154.0,1000.0,250.0,0.0,24.0,93.0,9.0,10.0,10.0,10.0,strict_14_with_grace_period,0.21
6,4.0,33.0,0,6.0,South End,1,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,False,229.0,0.0,75.0,0.0,9.0,89.0,10.0,10.0,9.0,10.0,super_strict_30,0.1
7,4.0,33.0,0,6.0,Back Bay,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,209.0,0.0,0.0,0.0,23.0,79.0,9.0,10.0,9.0,10.0,super_strict_30,0.25
8,4.0,33.0,0,6.0,Downtown,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,True,True,False,True,False,False,True,False,False,389.0,0.0,150.0,0.0,8.0,96.0,10.0,9.0,9.0,9.0,super_strict_30,0.08
10,4.0,33.0,0,6.0,Back Bay,1,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,342.0,0.0,0.0,0.0,25.0,88.0,10.0,10.0,10.0,10.0,super_strict_30,0.28
12,4.0,33.0,0,6.0,Back Bay,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,179.0,0.0,0.0,0.0,3.0,87.0,10.0,10.0,10.0,10.0,super_strict_30,0.03
13,4.0,33.0,0,6.0,Back Bay,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,False,259.0,0.0,0.0,0.0,22.0,85.0,9.0,10.0,9.0,10.0,super_strict_30,0.2
14,4.0,33.0,0,6.0,South End,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,False,True,279.0,0.0,0.0,0.0,8.0,80.0,8.0,10.0,9.0,10.0,super_strict_30,0.1
15,3.0,93.0,0,8.0,Downtown,0,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,150.0,1000.0,250.0,0.0,27.0,95.0,9.0,10.0,10.0,10.0,strict_14_with_grace_period,0.24
16,2.0,90.0,0,8.0,Back Bay,0,0,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,179.0,0.0,100.0,0.0,7.0,86.0,9.0,9.0,7.0,10.0,strict_14_with_grace_period,0.19
