,listing_id,pos,neu,neg,compound,name,latitude,longitude,review_scores_rating,neighbourhood_cleansed,distance_airport,distance_tophub,distance_prudential,distance_royale,distance_harvard
3195,22162098,1.0,0.0,0.0,0.6588,Beautiful 2 Bedroom in The heart of Boston!,42.33220506655515,-71.11281146053095,80.0,Mission Hill,5.76514550901253,1.7818610210309884,1.862613708302028,2.7111107115721302,3.581265661201509
4001,26362139,1.0,0.0,0.0,0.4404,Two Bedroom in Boston's Back Bay #201,42.34676074875068,-71.07973916824682,100.0,Back Bay,3.818833526204261,0.21115442462339,0.1447031120831396,0.7582021854988172,3.8157221987565575
4374,28492660,1.0,0.0,0.0,0.6588,Classic 2BR in South End by Sonder,42.34296092308364,-71.06531397236114,100.0,South End,3.252235400689367,0.980293880280417,0.9269697351202703,0.4804886854773115,4.568061204009935
4811,30505480,0.902,0.098,0.0,0.44815,Sophisticated 2BR in Lower Allston by Sonder,42.364704273353865,-71.13126758830899,100.0,Allston,6.227947673187092,2.732877249599675,2.7744327508781854,3.515281468276505,1.1481131503845559
4874,31261651,0.83,0.17,0.0,0.8676,(116-9) Back Bay - Perfect Loft Studio,42.353872217411535,-71.07760339766511,80.0,Back Bay,3.5739772631989397,0.600067161818078,0.5282396958812484,0.6744160709622384,3.6331814283272594
4515,29053226,0.815,0.185,0.0,0.6588,Sleek 2BR in South End by Sonder,42.33664187292285,-71.06753085703805,100.0,South End,3.5765209156494664,1.0783057109689116,1.055587259194475,0.9220429475709417,4.7397961087348905
989,8336364,0.815,0.185,0.0,0.6588,Beautiful Modern Condo,42.31199460127128,-71.11045089791808,100.0,Jamaica Plain,6.352902347393584,2.7447057893943,2.8163850673029147,3.484057475230481,4.937302357584876
4460,28833907,0.815,0.185,0.0,0.6588,6 Bedroom close to Fenway Park & Downtown Boston,42.32482053434636,-71.1046167126912,100.0,Jamaica Plain,5.620584154598012,1.8366611499735779,1.9116816500111369,2.64616126100912,4.215570460133271
4003,26363458,0.815,0.185,0.0,0.6588,One Bedroom on Tremont #308,42.33085127106002,-71.09954613013532,100.0,Mission Hill,5.192324002280631,1.3472315121891996,1.4229468344394063,2.1821059685918898,3.966731287688155
1631,14299184,0.8079999999999999,0.192,0.0,0.9273,One Bedroom located in the West End,42.3640904590381,-71.0689242912307,100.0,West End,3.0383573956001166,1.4336252737924615,1.3611023312706962,0.9931572424593745,3.756022665231171
3306,22651826,0.804,0.196,0.0,0.6249,Modernly Furnished 1-BR in The Heart of Boston!,42.34406121832926,-71.1020007585537,100.0,Fenway,4.958482234234505,0.9446707900835944,1.0199742556753224,1.909302861236606,3.1379669061882454
2578,19602772,0.8,0.2,0.0,0.6124,Magnificent 3-BR close to Tufts Medical Center,42.34886759689663,-71.06047461971283,100.0,Chinatown,2.848964952047048,1.207772756042474,1.1348726983248891,0.27010947936123236,4.567087550195519
3197,22163474,0.782,0.218,0.0,0.8955,Exquisite 1 Bedroom by Fenway Park!,42.346365082331964,-71.08017598528697,100.0,Back Bay,3.849211253614227,0.18840101589495803,0.1313850113505109,0.7877254604268197,3.8147084920049146
